,ENG,PL,IT,ES
PUZZEL_1_TITLE,Warm-up,Na rozgrzewkę,Riscaldamento,
PUZZEL_1_DECRIPTION,Opponent started by playing Eureka!. What an opening! Are they going to use their archived cards?,Przeciwnik rozpoczął grę zagrywając kartę Eureka1. Świetny start! Czy będzie mieć okazję skorzystać ze zarchiwizowanych kart?,L'avversario ha iniziato giocando Eureka!. Che apertura! Riuscirà a usare le carte che ha archiviato?,
PUZZEL_2_TITLE,"What goes around, comes around",Karma wraca,Quel che è fatto è reso,
PUZZEL_2_DECRIPTION,"Your opponent wants to forge a key and clear the entire board using Strange Gizmo. You have no way to stop them, so all you have to do is get as much Aember as you can. How would you play this turn?","Przeciwnik jak najszybciej chce wykuć klucz i wyczyścić cały stół. Przeszkodziłeś mu, przejmując 3 ambery Starym Bruno. Teraz nie masz już jak go powstrzymać. Pozostaje Ci jedynie zapewnić sobie jak najwięcej amberu na swoją następną turę. ","Il tuo avversario vuole forgiare una chiave e svuotare tutto il board usando Strano Marchingegno. Non hai modo di fermarlo, quindi puoi solo ottenere più Æmber possibile. Come giochi il tuo turno?",
PUZZEL_3_TITLE,Don’t be a miser,Nie bądź sknerą,Non fare il tirchio,
PUZZEL_3_DECRIPTION,"Your opponent raised your key cost to 14. That’s a lot. Fortunately, you could easily afford that. Make as many Aember as possible.","Przeciwnik podniósł cenę klucza do 14. To całkiem sporo. Na szczęście stać Cię na to. Udowonij to, zbierając jak najwięcej amberu.","Il tuo avversario ha aumentato il costo delle tue chiavi a 14. È un bel po'. Per fortuna, puoi facilmente permettertelo. Ottieni più Æmber possibile.",
PUZZEL_4_TITLE,Finders Keepers,Nic nie oddam,Chi trova tiene,
PUZZEL_4_DECRIPTION,"Last turn you captured all of your opponent’s Aember, preventing them from forging a key. They played all of their Brobnar creatures, hoping to reclaim what was rightfully his. Find a clever way to prevent that from happening!","Udało Ci się przejąć cały amber przeciwnika zanim ten wykuł klucz. Zagrał wszystkie swoje stworzenia z Brobnaru, licząc na odzyskanie przejętej własności. Znajdź sprytny sposób, aby temu zapobiec.","Nell'ultimo turno hai catturato tutti gli Æmber del tuo avversario, impedendogli di forgiare una chiave. Lui ha giocato tutte le sue creature Brobnar, sperando di riprendersi quello che è suo di diritto. Trova un bel modo di impedire che accada!",
PUZZEL_5_TITLE,The are only two certainties in life,W życiu są pewne tylko dwie rzeczy,Ci sono solo due certezze nella vita,En la vida solo dos cosas son ciertas
PUZZEL_5_DECRIPTION,"The opponent is going to forge the last key. You can't let him do that! Knowing that the cards in the deck are in random order, what play will give you the best chance of stopping him?","Przeciwnik zamierza wykuć ostatni klucz. Nie możesz mu na to pozwolić! Wiedząc, że karty w talii są ułożone w losowej kolejności, to jakie zagranie da Ci największe szanse na powstrzymanie go?","L'avversario forgerà l'ultima chiave. Non puoi permetterglielo! Sapendo che le carte nel mazzo sono in ordine casuale, che giocata ti darà le migliori possibilità di fermarlo?","Tu oponente se dispone a forjar su tercera llave. ¡Tienes que impedirlo! Sabiendo que las cartas del mazo están en orden aleatorio, ¿con qué jugada es más probable que evites la forja del rival?"
PUZZEL_6_TITLE,You should stay at home...,Powinieneś zostać w domu...,Dovresti restare a casa...,Deberías quedarte en casa...
PUZZEL_6_DECRIPTION,"It is the beginning of the 4th round. The opponent has collected enough amber to forge the second key, and you haven't forged your first one yet. However, the game is not yet a foregone conclusion. Stop your opponent from forging and regain control of the game!","Jest początek 4 tury. Przeciwnik uzbierał amber na drugi klucz, a Ty nie masz jeszcze pierwszego. Jednak gra nie jest jeszcze przesądzona. Powstrzymaj przeciwnika przed wykuciem i odzyskaj kontrolę nad grą!","È l'inizio del 4° turno. Il tuo avversario ha raccolto abbastanza aember da forgiare la seconda chiave, e tu non hai ancora forgiato la prima. Tuttavia la partita non è ancora finita. Impedisci all'avversario di forgiare e riprendi il controllo della partita!","Es el comienzo del turno 4. Tu oponente ha conseguido ámbar suficiente como para forjar su segunda llave, mientras que tú aún no has conseguido forjar la primera. Sin embargo, la partida aún no está lista para sentencia. ¡Evita que tu oponente forje y recupera el control de la partida!"
PUZZEL_7_TITLE,,Pies ogrodnika,,
PUZZEL_7_DECRIPTION,,"Przeciwnik mając już dużą przewagę, zablokował jeszcze Ci kucie drugiego klucza. Skoro Ty nie możesz mieć klucza to on też nie będzie miał! Nie pozwól aby przeciwnikowi zrobij ostatni klucz, a sam przygotuj się do kucia w następnej turze.",,
PUZZEL_8_TITLE,,Warto czytać,,
PUZZEL_8_DECRIPTION,,"Przeciwnik całą grę stara się utrudnić Ci wykucie każdego klucza. Jednak to tylko odwleka nieuniknione. Czytałeś jego listę kart  i wiesz, że w talii nie ma już kart które powstrzymały by Cię od kucia. Chcesz to szybko zakończyć. Zbierz w tej turze amber na klucz!",,
PUZZEL_X_TITLE,,Zapłacisz za to,,
PUZZEL_X_DECRIPTION,,"Przeciwnik zablokował Ci zbieranie ambermu, sam zaś uzbierał na ostatni klucz. Samo powstrzymanie go przed wykuciem nie zapewni Ci zwycięstwa. Czy jest szansa by jednocześnie nie pozwolić mu wykuć a samemu uzbierać na klucz?",,